WigleWifi-1.4,appRelease=2.25,model=SM-G900F,release=6.0.1,device=klte,display=MMB29M.G900FXXU1CPI8,board=MSM8974,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
e8:74:e6:ff:f1:41,Cellcom-WiFi,[WPA2-PSK-CCMP][ESS][BLE],2017-10-28 20:30:57,1,-64,31.82141436,35.25251023,692,13,WIFI
a0:8c:fd:3f:8d:7b,DIRECT-7A-HP DeskJet 4670 series,[WPA2-PSK-CCMP][WPS][ESS],2017-10-28 20:30:57,1,-37,31.82141436,35.25251023,692,13,WIFI
a0:4f:d4:3b:15:41,National Salsa House,[WPA2-PSK-CCMP][ESS],2017-10-28 20:30:57,6,-85,31.82141436,35.25251023,692,13,WIFI
14:ae:db:c9:04:85,Nadav,[WPA2-PSK-CCMP][ESS],2017-10-28 20:30:57,1,-85,31.82141436,35.25251023,692,13,WIFI
06:ae:db:c9:04:85,BezeqFree,[WPA2-PSK-CCMP][ESS],2017-10-28 20:30:57,1,-82,31.82141436,35.25251023,692,13,WIFI
dc:4a:3e:0c:f3:48,DIRECT-47-HP DeskJet 3830 series,[WPA2-PSK-CCMP][WPS][ESS],2017-10-28 20:30:57,1,-89,31.82141436,35.25251023,692,13,WIFI
42503_7331_1006594,Pelephone,UNKNOWN;il,2017-10-28 20:30:57,0,-113,31.82141436,35.25251023,692,13,GSM
14:ae:db:56:f0:4d,42713305,[WPA2-PSK-CCMP][ESS],2017-10-28 20:31:36,6,-93,31.82135824,35.25247843,706,18,WIFI
74:da:38:77:19:58,SOHO,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-10-28 20:31:36,13,-94,31.82135824,35.25247843,706,18,WIFI
00:08:52:11:3d:0d,myLGNet3D0F,[WEP][ESS],2017-10-28 20:31:36,11,-93,31.82135824,35.25247843,706,18,WIFI
a4:52:6f:fe:b3:39,barbaleta,[WPA2-PSK-CCMP][ESS][BLE],2017-10-28 20:33:39,1,-87,31.82137365,35.25244568,702,13,WIFI
